Field,Experience,Location,Company Size,Salary,Job Requirements,URL
Dược phẩm / Y tế / Công nghệ sinh học,2 năm,Hà Nội,25-99 nhân viên,9 - 12 triệu,"Yêu cầu ứng viên
• Nữ, tốt nghiệp Đại học, Cao đẳng chuyên ngành Kế toán.
• Có ít nhất 2 năm kinh nghiệm chuyên ngành.
• Sử dụng thành thạo word, excel và phần mềm kế toán Misa.
• Chịu được áp lực cao, cẩn thận, tỉ mỉ, có trách nhiệm với công việc.
• Nhanh nhẹn, trung thực, có khả năng làm việc độc lập.
• Tác phong chuyên nghiệp, gọn gàng, lịch sự
• Giao tiếp tự tin, thân thiện, dễ tạo thiện cảm với khách hàng",https://www.topcv.vn/viec-lam/ke-toan-kiem-hanh-chinh-van-phong-ha-noi-thu-nhap-tu-9-12-trieu/1675492.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Du lịch,3 năm,Hà Nội,100-499 nhân viên,15 - 18 triệu,"Yêu cầu ứng viên
- Trình độ: tốt nghiệp Đại học, Cao Đẳng chuyên ngành Kế toán, kiểm toán, tài chính.
- Có kinh nghiệm làm việc ít nhất 3 năm ở vị trí tương đương.
- Nắm vững các nghiệp vụ kế toán.
- Khả năng phân tích, tổng hợp và viết báo cáo.
- Sử dụng thành thạo các phần mềm kế toán, vi tính văn phòng (đặc biệt là Excel).
- Cẩn thận, trung thực, có trách nhiệm với công việc.",https://www.topcv.vn/viec-lam/ke-toan-thue-thu-nhap-tu-15-18-trieu-tai-ha-noi/1675429.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Xây dựng,Dưới 1 năm,Đà Nẵng,100-499 nhân viên,Thoả thuận,"Yêu cầu ứng viên
- Giới tính: Nam.
- Trình độ chuyên môn: tốt nghiệp Đại học chuyên ngành Kế toán, kiểm toán hoặc các chuyên ngành liên quan.
- Trình độ vi tính: thành thạo tin học văn phòng. Ưu tiên biết sử dụng phần mềm fast.
- Trình độ ngoại ngữ: Anh văn cơ bản.
- Kinh nghiệm: ưu tiên kinh nghiệm trong lĩnh vực xây dựng.",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-tong-hop-nam/1290842.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Bán lẻ - Hàng tiêu dùng - FMCG,3 năm,Hà Nội,25-99 nhân viên,16 - 20 triệu,"Yêu cầu ứng viên
• Tốt nghiệp Đại học chuyên ngành Kế toán, Tài chính hoặc lĩnh vực liên quan
• Thành thạo phần mềm kế toán, Microsoft Word, Excel
• Nắm vững các quy định về kế toán tài chính, thuế
• Ít nhất 3 năm kinh nghiệm làm việc ở vị trí tương đương
• Tinh thần trách nhiệm cao, cẩn thận, trung thực",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-thu-nhap-tu-16-20-trieu-tai-ha-noi/1488971.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Bán lẻ - Hàng tiêu dùng - FMCG,1 năm,Hồ Chí Minh,25-99 nhân viên,10 - 12 triệu,"Yêu cầu ứng viên
● Giới tính: Nữ, độ tuổi từ 22 – 35 tuổi.
● Tốt nghiệp cao đẳng hoặc đại học chuyên ngành kế toán, tài chính hoặc các ngành liên quan.
● Có kinh nghiệm từ 1 năm trở lên trong lĩnh vực kế toán, kế toán bán hàng.
● Thành thạo vi tính văn phòng, phần mềm kế toán Misa, ưu tiên các ứng viên biết sử dụng phần mềm bán hàng Sapo.
● Cẩn thận, trung thực, nhanh nhẹn, có trách nhiệm trong công việc.",https://www.topcv.vn/viec-lam/ke-toan-ban-hang-luong-den-12-trieu-tai-quan-5-ho-chi-minh/1676576.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Tư vấn,3 năm,Hà Nội,25-99 nhân viên,15 - 17 triệu,"Yêu cầu ứng viên
• Tốt nghiệp Đại học chuyên ngành Kế toán – Tài chính.
• Kinh nghiệm tối thiểu 3 năm làm Kế toán Tổng hợp, trong đó có kinh nghiệm quản lý nhân sự kế toán là lợi thế.
• Thành thạo phần mềm kế toán (MISA, Fast, Bravo...) và Excel.
• Nắm vững luật thuế, chuẩn mực kế toán Việt Nam.
• Kỹ năng tổng hợp, phân tích và kiểm soát tốt; có tư duy hệ thống.
• Trung thực, cẩn trọng, chịu được áp lực cao.",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-3-nam-kinh-nghiem-luong-15-17-trieu-di-lam-ngay/1674098.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Sản xuất,2 năm,Hà Nội,25-99 nhân viên,15 - 18 triệu,"Yêu cầu ứng viên
- Giới tính: Nữ
- Trong độ tuổi từ 25-40 tuổi
- Tốt nghiệp Cao đẳng trở lên ngành kế toán, kiểm toán, tài chính
- Có ít nhất 02 năm kinh nghiệm ở vị trí tương đương
- Thao tác thành thạo tin học văn phòng. Biết sử dụng phần mềm kế toán Misa
- Trung thực, chịu khó, có tinh thần học hỏi
- Cẩn thận, có tính trách nhiệm cao
- Chịu được áp lực công việc, dễ thích nghi",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-tong-hop-luong-cung-15-den-18-trieu-dong-phu-cap-an-trua/1673417.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Sản xuất,1 năm,Hưng Yên,25-99 nhân viên,Thoả thuận,"Yêu cầu ứng viên
• Bachelor’s degree in Accounting, Finance, or related field
• Experience in accounting or finance roles preferred
• Knowledge of accounting software and financial regulations
• Strong attention to detail and numerical skills
Prefer English speaker
Experienced in garment industry",https://www.topcv.vn/viec-lam/accountant-ke-toan-vien-thu-nhap-hap-dan-di-lam-ngay/1663616.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Xây dựng,1 năm,Hà Nội,100-499 nhân viên,16 - 22 triệu,"Yêu cầu ứng viên
• Tốt nghiệp CĐ/ ĐH trở lên chuyên ngành kế toán, kiểm toán, tài chính,...
• Đã có kinh nghiệm làm Kế toán tổng hợp tại các dự án bất động sản của các công ty chủ đầu tư hoặc tổng thầu xây dựng từ 1-2 năm
• Có kinh nghiệm trong việc kiểm tra hồ sơ nghiệm thu thanh toán các gói thầu xây dựng, thi công và mua sắm tài sản
• Có kinh nghiệm làm việc với các cơ quan thuế và mạnh về thuế
• Kỹ năng tổng hợp, báo cáo, quản trị công việc tốt
• Sử dụng thành thạo word, excel và các phần mềm kế toán (ưu tiên đã sử dụng phần mềm Bravo)",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-cua-du-an-bat-dong-san-luong-tu-16-22-trieu-thang/1688357.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Xuất nhập khẩu,3 năm,Hồ Chí Minh,10-24 nhân viên,12 - 14 triệu,"Yêu cầu ứng viên
• Tốt nghiệp đại học/ cao đẳng chuyên ngành kế toán, có chứng chỉ bồi dưỡng kế toán trưởng (ưu tiên)
• Kinh nghiệm công việc kế toán tổng hợp từ 03 năm trở lên, thành thạo nghiệp vụ kế toán
• Sử dụng thành thạo tin học văn phòng, email, biết dùng phần mềm kế toán
• Cẩn thận, trung thực, và hoà đồng
• Kỹ năng sắp xếp, hoạch định công việc
• Làm việc email bằng tiếng Anh thương mại là một lợi thế",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-nhan-viec-ngay-luong-tu-12-trieu/1690869.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
